feature,importance
automated_readability_index,0.19603655
flesch_kincaid_grade,0.0673248
max_word_length,0.061062656
gunning_fog,0.054188263
max_sent_length,0.04487473
mean_sent_length,0.03367531
coleman_liau_index,0.03340996
dale_chall,0.030162526
n_tokens,0.028014928
std_word_length,0.025198506
prop_noun,0.023699576
max_syllables,0.022832658
guiraud_index,0.022295984
n_types,0.02148529
max_dep_distance,0.021175927
n_subclauses,0.020265501
mean_tree_depth,0.019434964
prop_adv,0.019369218
prop_adp,0.019320836
prop_adj,0.01914964
mean_word_length,0.018959705
smog_index,0.018429877
prop_long_words,0.018326148
ttr,0.018169016
prop_verb,0.018125137
max_tree_depth,0.018030459
prop_conj,0.017538017
mean_dep_distance,0.01666251
flesch_reading_ease,0.015786039
n_unique_pos,0.014964854
mean_syllables,0.014954421
n_sentences,0.013718588
subclause_ratio,0.013357453
prop_rare_words,0.0
