feature,gain,mean_abs_shap,rank_a,rank_b
automated_readability_index,11.642549514770508,0.6645783,1.0,1.0
gunning_fog,5.076256275177002,0.35914186,2.0,2.0
flesch_kincaid_grade,4.5867486000061035,0.14764582,3.0,7.0
max_word_length,4.431145191192627,0.14579271,4.0,8.0
max_sent_length,3.4350321292877197,0.08432433,5.0,13.0
coleman_liau_index,2.9635910987854004,0.20728792,6.0,5.0
mean_sent_length,2.8844709396362305,0.08617663,7.0,12.0
n_tokens,2.7482855319976807,0.07764642,8.0,15.0
dale_chall,2.504831075668335,0.24693403,9.0,3.0
guiraud_index,2.2865123748779297,0.10581583,10.0,9.0
n_types,2.2804505825042725,0.07705319,11.0,16.0
max_syllables,2.166734218597412,0.056709964,12.0,24.0
prop_noun,2.1292524337768555,0.17020841,13.0,6.0
std_word_length,2.1030633449554443,0.238331,14.0,4.0
n_subclauses,1.923771858215332,0.03634957,15.0,30.0
smog_index,1.8585566282272339,0.04185507,16.0,29.0
ttr,1.7962868213653564,0.057087287,17.0,23.0
prop_adj,1.7949061393737793,0.10141562,18.0,10.0
prop_adv,1.78622567653656,0.046852957,19.0,28.0
prop_conj,1.7858388423919678,0.0606567,20.0,22.0
mean_word_length,1.7821029424667358,0.05233131,21.0,25.0
mean_tree_depth,1.7807363271713257,0.07361806,22.0,17.0
max_dep_distance,1.7647812366485596,0.0977803,23.0,11.0
prop_long_words,1.7543467283248901,0.063744105,24.0,20.0
max_tree_depth,1.736411452293396,0.027788986,25.0,31.0
prop_adp,1.7127898931503296,0.051067133,26.0,27.0
mean_syllables,1.6993926763534546,0.05197012,27.0,26.0
prop_verb,1.6401405334472656,0.06653775,28.0,19.0
mean_dep_distance,1.6310011148452759,0.0721428,29.0,18.0
subclause_ratio,1.6117278337478638,0.013317876,30.0,32.0
flesch_reading_ease,1.5949227809906006,0.07822269,31.0,14.0
n_unique_pos,1.5533499717712402,0.061205726,32.0,21.0
n_sentences,1.2880984544754028,0.0031069429,33.0,33.0
prop_rare_words,0.0,0.0,34.0,34.0
