feature,mean_abs_shap
automated_readability_index,0.6645783
gunning_fog,0.35914186
dale_chall,0.24693403
std_word_length,0.238331
coleman_liau_index,0.20728792
prop_noun,0.17020841
flesch_kincaid_grade,0.14764582
max_word_length,0.14579271
guiraud_index,0.10581583
prop_adj,0.10141562
max_dep_distance,0.0977803
mean_sent_length,0.08617663
max_sent_length,0.08432433
flesch_reading_ease,0.07822269
n_tokens,0.07764642
n_types,0.07705319
mean_tree_depth,0.07361806
mean_dep_distance,0.0721428
prop_verb,0.06653775
prop_long_words,0.063744105
n_unique_pos,0.061205726
prop_conj,0.0606567
ttr,0.057087287
max_syllables,0.056709964
mean_word_length,0.05233131
mean_syllables,0.05197012
prop_adp,0.051067133
prop_adv,0.046852957
smog_index,0.04185507
n_subclauses,0.03634957
max_tree_depth,0.027788986
subclause_ratio,0.013317876
n_sentences,0.0031069429
prop_rare_words,0.0
