feature,mean_abs_shap
automated_readability_index,0.3434545
dale_chall,0.28399613
max_dep_distance,0.19464406
n_tokens,0.1840443
mean_dep_distance,0.18056263
gunning_fog,0.17269212
mean_sent_length,0.17118667
max_sent_length,0.14528193
guiraud_index,0.12838344
coleman_liau_index,0.12708963
mean_tree_depth,0.124306165
std_word_length,0.12033942
ttr,0.100931264
prop_verb,0.099674985
prop_noun,0.09863411
flesch_kincaid_grade,0.09779357
max_word_length,0.09057349
n_types,0.08980822
prop_adp,0.08427235
prop_adj,0.07397964
prop_adv,0.07395399
prop_conj,0.07297806
mean_word_length,0.06570288
flesch_reading_ease,0.06518296
prop_long_words,0.06371227
smog_index,0.061179888
n_unique_pos,0.05336532
mean_syllables,0.049098123
n_subclauses,0.0382816
max_syllables,0.025358303
max_tree_depth,0.021081256
subclause_ratio,0.019010713
n_sentences,0.0030112874
prop_rare_words,0.0
