,rho,p,abs_rho
automated_readability_index,0.7107786626387043,0.0,0.7107786626387043
flesch_kincaid_grade,0.6999501507966056,0.0,0.6999501507966056
max_sent_length,0.6947732356781662,0.0,0.6947732356781662
mean_sent_length,0.6847834654098234,0.0,0.6847834654098234
gunning_fog,0.6837870790053614,0.0,0.6837870790053614
n_tokens,0.6836425774916405,0.0,0.6836425774916405
n_types,0.6750986698538988,0.0,0.6750986698538988
smog_index,0.6431047414526507,0.0,0.6431047414526507
guiraud_index,0.6426512688747641,0.0,0.6426512688747641
max_dep_distance,0.6183345597813104,2.2101397486296308e-297,0.6183345597813104
flesch_reading_ease,-0.6095073741466105,1.0062989893517288e-286,0.6095073741466105
max_word_length,0.5960370545574901,4.2990258703953306e-271,0.5960370545574901
mean_tree_depth,0.5949372077931486,7.533613435678521e-270,0.5949372077931486
max_tree_depth,0.5871664369391513,3.37407724399599e-261,0.5871664369391513
coleman_liau_index,0.5651436924769074,6.505422955484644e-238,0.5651436924769074
max_syllables,0.5642250391626127,5.581093479036546e-237,0.5642250391626127
n_unique_pos,0.548764794839924,1.0586201234520812e-221,0.548764794839924
dale_chall,0.5267103278690443,3.025391424811373e-201,0.5267103278690443
mean_dep_distance,0.5041053536898246,8.614486072975675e-182,0.5041053536898246
std_word_length,0.48762724343391856,1.6642275715976479e-168,0.48762724343391856
ttr,-0.4618929553423605,3.6937196605041914e-149,0.4618929553423605
mean_syllables,0.44094520075714494,1.365709871964271e-134,0.44094520075714494
mean_word_length,0.431432910799926,2.633433513663201e-128,0.431432910799926
prop_long_words,0.4132281249124376,7.95873533688836e-117,0.4132281249124376
n_subclauses,0.3475355834521023,6.479454544660838e-81,0.3475355834521023
subclause_ratio,0.34376570791209,4.2526864949903636e-79,0.34376570791209
prop_adp,0.23093559253175822,1.777605138558984e-35,0.23093559253175822
prop_adj,0.16219047056313718,4.336159158363124e-18,0.16219047056313718
prop_noun,0.16127931920174596,6.680621200214954e-18,0.16127931920174596
prop_conj,0.16102990472499132,7.516413601251973e-18,0.16102990472499132
prop_verb,-0.15431134809376476,1.676773021885613e-16,0.15431134809376476
n_sentences,0.042392693787610354,0.024320976065723893,0.042392693787610354
prop_rare_words,0.03144930037281946,0.09485242283753982,0.03144930037281946
prop_adv,0.02953827736365401,0.11669589118317787,0.02953827736365401
