feature,importance
automated_readability_index,0.11750555
n_tokens,0.09123144
max_sent_length,0.08208901
gunning_fog,0.06393162
n_types,0.05056938
flesch_kincaid_grade,0.03968775
mean_sent_length,0.036960196
guiraud_index,0.03027906
max_dep_distance,0.026607288
dale_chall,0.025736297
ttr,0.023579756
smog_index,0.023399979
mean_word_length,0.020921553
max_word_length,0.020684576
mean_tree_depth,0.020664373
max_syllables,0.020519262
n_unique_pos,0.020472808
prop_long_words,0.020104054
mean_syllables,0.019355293
mean_dep_distance,0.019120825
prop_noun,0.01834001
prop_verb,0.018328812
prop_conj,0.018208569
n_subclauses,0.01811194
prop_adj,0.017939733
flesch_reading_ease,0.017907085
prop_adp,0.017854484
subclause_ratio,0.017702889
coleman_liau_index,0.017600615
std_word_length,0.017398149
max_tree_depth,0.017069668
prop_adv,0.016027357
n_sentences,0.014090563
prop_rare_words,0.0
